H131785-101000755616,"2013-02-09 17:12:20","2013-02-15 09:18:58",5.6712731481481
H131185-101000759671,"2013-02-09 21:22:47","2013-02-19 16:50:52",9.8111689814815
H131248-101000764193,"2013-02-10 10:11:00","2013-02-20 12:00:09",10.075798611111
H131249-101000764213,"2013-02-10 10:12:05","2013-02-20 12:01:37",10.076064814815
H131250-101000764233,"2013-02-10 10:13:15","2013-02-12 07:43:56",1.8963078703704
H131361-101000767899,"2013-02-10 14:37:11","2013-02-20 15:21:41",10.030902777778
H131457-101000770719,"2013-02-10 18:35:38","2013-02-20 17:27:15",9.9525115740741
H131625-101000773699,"2013-02-11 09:42:46","2013-02-14 11:37:01",3.0793402777778
H131627-101000773715,"2013-02-11 09:44:17","2013-02-14 11:38:25",3.0792592592593
H132024-101000776699,"2013-02-11 18:37:21","2013-02-17 12:15:37",5.7349074074074
H132182-101000777494,"2013-02-12 08:01:31","2013-02-19 15:58:06",7.3309606481481
H132184-101000777497,"2013-02-12 08:02:27","2013-02-19 15:59:03",7.3309722222222
H132264-101000777785,"2013-02-12 09:17:02","2013-02-19 16:31:17",7.3015625
H132272-101000777810,"2013-02-12 09:21:16","2013-02-14 09:19:53",1.9990393518519
H132465-101000778879,"2013-02-12 14:39:15","2013-02-20 08:55:36",7.7613541666667
H132500-101000779014,"2013-02-12 15:18:46","2013-02-20 09:17:44",7.7492824074074
H132617-101000779487,"2013-02-12 17:48:00","2013-02-14 07:55:06",1.5882638888889
H132695-101000779792,"2013-02-12 21:09:14","2013-02-14 07:54:14",1.4479166666667
H132762-101000780111,"2013-02-13 08:14:49","2013-02-15 11:32:48",2.1374884259259
H133265-101000782863,"2013-02-14 14:53:12","2013-02-19 08:40:23",4.741099537037
H133266-101000782865,"2013-02-14 14:54:20","2013-02-19 08:42:36",4.7418518518519
H133453-101000783608,"2013-02-15 09:24:46","2013-02-17 10:29:11",2.0447337962963
H133480-101000783720,"2013-02-15 10:09:56","2013-02-17 10:34:36",2.0171296296296
H133581-101000784236,"2013-02-15 15:44:44","2013-02-17 10:32:01",1.7828356481481
H133583-101000784245,"2013-02-15 15:55:21","2013-02-17 10:32:34",1.7758449074074
H133756-101000785569,"2013-02-17 21:22:36","2013-02-20 09:58:18",2.5247916666667
H133881-101000786404,"2013-02-19 10:01:37","2013-02-20 08:06:33",0.92009259259259
H133967-101000786924,"2013-02-19 15:34:52","2013-02-21 08:25:53",1.7020949074074
H134152-101000788363,"2013-02-21 08:50:53","2013-02-22 07:13:56",0.93267361111111
H135303-101000800790,"2013-03-09 15:00:21","2013-03-12 07:22:15",2.6402083333333
H135955-101000807653,"2013-03-20 10:24:37","2013-03-21 08:13:47",0.90914351851852
H135970-101000807755,"2013-03-20 11:37:41","2013-03-21 08:02:19",0.85043981481481
H136150-101000809130,"2013-03-22 09:33:48","2013-03-25 09:55:39",3.0151736111111
H152596-101000982361,"2013-12-15 14:44:11","2013-12-17 11:33:58",1.8679050925926
H152598-101000982364,"2013-12-15 14:45:47","2013-12-17 11:29:41",1.8638194444444
